Roll,P,FL,FR,BL,BR
-0.105121,-0.075568,1619,1362,1619,1362
-0.107058,-0.085341,1623,1357,1623,1357
-0.109031,-0.088416,1624,1357,1624,1357
-0.111404,-0.119031,1632,1346,1632,1346
-0.114302,-0.088796,1621,1360,1621,1360
-0.116501,-0.072041,1620,1361,1620,1361
-0.118194,-0.066065,1622,1358,1622,1358
-0.119782,-0.066869,1625,1355,1625,1355
-0.121545,-0.082286,1630,1348,1630,1348
-0.123500,-0.066519,1626,1354,1626,1354
-0.125053,-0.066997,1628,1350,1628,1350
-0.126763,-0.067459,1629,1349,1629,1349
-0.128369,-0.048145,1625,1355,1625,1355
-0.129503,-0.047485,1628,1350,1628,1350
-0.130673,-0.055385,1631,1346,1631,1346
-0.131999,-0.068864,1637,1342,1637,1342
-0.133814,-0.076750,1638,1341,1638,1341
-0.135560,-0.063703,1632,1345,1632,1345
-0.137096,-0.064997,1636,1342,1636,1342
-0.138701,-0.069199,1639,1340,1639,1340
-0.140237,-0.040019,1630,1348,1630,1348
-0.141250,-0.046273,1637,1342,1637,1342
-0.142436,-0.063996,1644,1334,1644,1334
-0.143867,-0.029874,1631,1347,1631,1347
-0.144531,-0.019250,1632,1345,1632,1345
-0.145019,-0.039043,1644,1335,1644,1335
-0.146119,-0.061065,1649,1328,1649,1328
-0.147585,-0.051303,1644,1334,1644,1334
-0.148754,-0.049581,1645,1333,1645,1333
-0.150168,-0.108261,1662,1311,1662,1311
-0.152734,-0.085548,1651,1327,1651,1327
-0.154915,-0.082111,1652,1325,1652,1325
-0.156853,-0.061202,1647,1331,1647,1331
-0.158354,-0.067890,1653,1323,1653,1323
-0.160134,-0.082920,1658,1316,1658,1316
-0.162193,-0.105345,1663,1310,1663,1310
-0.164532,-0.062805,1650,1327,1650,1327
-0.165859,-0.019086,1642,1336,1642,1336
-0.166278,-0.015475,1650,1328,1650,1328
-0.166592,-0.000823,1648,1329,1648,1329
-0.166504,0.009365,1648,1329,1648,1329
-0.165911,0.046921,1639,1340,1639,1340
-0.164864,0.022307,1653,1323,1653,1323
-0.164427,0.008906,1655,1320,1655,1320
-0.163869,0.032966,1647,1331,1647,1331
-0.162769,0.096476,1629,1349,1629,1349
-0.160413,0.115008,1632,1345,1632,1345
-0.155736,0.132177,1631,1346,1631,1346
-0.151268,0.210373,1609,1374,1609,1374
-0.144147,0.263194,1605,1380,1605,1380
-0.137462,0.322543,1593,1394,1593,1394
-0.129294,0.305503,1609,1375,1609,1375
-0.121492,0.386836,1580,1410,1580,1410
-0.111335,0.465383,1560,1433,1560,1433
-0.098821,0.501585,1559,1434,1559,1434
-0.086708,0.450746,1585,1403,1585,1403
-0.074979,0.549374,1467,1532,1467,1532
-0.059987,0.745058,1383,1603,1383,1603
-0.042237,0.545349,1582,1408,1582,1408
-0.028641,0.563952,1535,1460,1535,1460
-0.014416,0.170673,1670,1301,1670,1301
-0.008901,0.020506,1660,1315,1660,1315
-0.008378,0.006714,1628,1350,1628,1350
-0.008255,0.006424,1618,1365,1618,1365
-0.008063,0.013231,1611,1372,1611,1372
-0.007749,0.007955,1612,1371,1612,1371
-0.007575,0.005410,1612,1371,1612,1371
-0.007435,0.004821,1611,1372,1611,1372
-0.007348,0.002273,1612,1371,1612,1371
-0.007278,0.001565,1612,1371,1612,1371
-0.007261,0.001608,1612,1371,1612,1371
-0.007226,-0.000170,1612,1371,1612,1371
-0.007243,-0.000783,1612,1371,1612,1371
-0.007226,0.000482,1612,1371,1612,1371
-0.007243,0.000632,1612,1371,1612,1371
-0.007191,-0.000851,1613,1370,1613,1370
-0.007173,0.001782,1611,1372,1611,1372
-0.007138,0.002352,1611,1372,1611,1372
-0.007069,-0.006073,1616,1368,1616,1368
-0.007156,0.002929,1610,1373,1610,1373
-0.007173,-0.002837,1614,1369,1614,1369
-0.007226,-0.005196,1615,1369,1615,1369
-0.007278,0.007830,1609,1374,1609,1374
-0.007295,-0.001851,1615,1368,1615,1368
-0.007330,-0.003079,1615,1369,1615,1369
-0.007418,-0.003992,1614,1369,1614,1369
